ID,Class of Spike-Binding Protein,Spike-Binding Protein,Barnes Class,Chains (If Combination),Complex Name,Resolution,Title,Released,DOI,Notes
6ZH9,Antibody,CR3022,4,"HHH,LLL",6ZH9_1,3.31,Ternary complex CR3022 H11-H4 and RBD (SARS-CoV-2),9/2/2020,10.1038/s41594-020-0469-6,
6ZH9,Nanobody/Sybody,H11-H4,2,FFF,6ZH9_2,3.31,Ternary complex CR3022 H11-H4 and RBD (SARS-CoV-2),9/2/2020,10.1038/s41594-020-0469-6,
6ZHD,Nanobody/Sybody,H11-H4,2,,6ZHD_1;6ZHD_2;6ZHD_3,"3.7, 3.7",H11-H4 bound to Spike,7/29/2020,,
6ZLR,Antibody,CR3022,4,,6ZLR_1;6ZLR_2;6ZLR_3,3.1,Soaking competent crystal form of the SARS-CoV-2 Receptor Binding Domain (RBD):CR3022 complex.,12/23/2020,10.3389/fphar.2020.615211,
6ZXN,Nanobody/Sybody,Ty1,2,,6ZXN_1;6ZXN_2;6ZXN_3,2.93,Cryo-EM structure of the SARS-CoV-2 spike protein bound to neutralizing nanobodies (Ty1),9/23/2020,10.1038/s41467-020-18174-5,
7A25,Nanobody/Sybody,Sb23,2,,7A25_1;7A25_2;7A25_3,3.06,Cryo-EM structure of the SARS-CoV-2 spike protein bound to neutralizing sybodies (Sb23),11/25/2020,10.1038/s41467-020-19204-y,
7A29,Nanobody/Sybody,Sb23,2,,7A29_1;7A29_2;7A29_3,2.94,Cryo-EM structure of the SARS-CoV-2 spike protein bound to neutralizing sybodies (Sb23) 2-up conformation,10/21/2020,10.1038/s41467-020-19204-y,
7A5R,Antibody,CR3022,4,,7A5R_1;7A5R_2,3.7,Complex of SARS-CoV-2 spike and CR3022 Fab (Non-Uniform Refinement),9/16/2020,10.1038/s41467-020-19146-5,
7A5S,Antibody,CR3022,4,,7A5S_1;7A5S_2,3.9,Complex of SARS-CoV-2 spike and CR3022 Fab (Homogeneous Refinement),9/16/2020,10.1038/s41467-020-19146-5,
7AKD,Antibody,47D11,3,,7AKD_1;7AKD_2,4,Structure of the SARS-CoV-2 spike glycoprotein in complex with the 47D11 neutralizing antibody Fab fragment,5/19/2021,10.1126/sciadv.abf5632,
7B14,Nanobody/Sybody,VHH E,1,,7B14_1,3.79,Nanobody E bound to Spike-RBD in a localized reconstruction,4/28/2021,10.1126/science.abe6230,
7B17,Nanobody/Sybody,VHH VE,,,7B17_1;7B17_2,4.01,SARS-CoV-spike RBD bound to two neutralising nanobodies.,2/10/2021,10.1126/science.abe6230,
7B18,Nanobody/Sybody,VHH VE,,,7B18_1;7B18_2;7B18_3;7B18_4;7B18_5;7B18_6,2.62,SARS-CoV-spike bound to two neutralising nanobodies,4/28/2021,10.1126/science.abe6230,
7B27,Nanobody/Sybody,NM1230,3,,7B27_1;7B27_2,2.902,RBD domain SARS-CoV2 in complex with neutralizing nanobody NM1230,5/12/2021,10.15252/embr.202052325,
7B3O,Antibody,STE90-C11,1,,7B3O_1,2,Crystal structure of the SARS-CoV-2 RBD in complex with STE90-C11 Fab,12/16/2020,10.1016/j.celrep.2021.109433,
7BEH,Antibody,COVOX-316,,,7BEH_1,2.3,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-316 Fab,3/3/2021,10.1016/j.cell.2021.02.032,
7BEI,Antibody,COVOX-150,,,7BEI_1,2.3,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-150 Fab,3/3/2021,10.1016/j.cell.2021.02.032,
7BEJ,Antibody,COVOX-158,,,7BEJ_1,2.42,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-158 Fab (crystal form 1),3/3/2021,10.1016/j.cell.2021.02.032,
7BEK,Antibody,COVOX-158,,,7BEK_1,2.04,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-158 Fab (crystal form 2),3/3/2021,10.1016/j.cell.2021.02.032,
7BEL,Antibody,COVOX-45,3,"A,B,C,D",7BEL_2;7BEL_3,2.53,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-88 and COVOX-45 Fabs,3/3/2021,10.1016/j.cell.2021.02.032,Mutant Spike
7BEL,Antibody,COVOX-88,,"E,F,H,L",7BEL_1;7BEL_4,2.53,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-88 and COVOX-45 Fabs,3/3/2021,10.1016/j.cell.2021.02.032,Mutant Spike
7BEM,Antibody,COVOX-269,,,7BEM_1,2.52,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-269 scFv,3/3/2021,10.1016/j.cell.2021.02.032,
7BEN,Antibody,COVOX-253,1,"D,F,H,L",7BEN_2;7BEN_3,2.5,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253 and COVOX-75 Fabs,3/3/2021,10.1016/j.cell.2021.02.032,Mutant Spike; class disagreement (2)
7BEN,Antibody,COVOX-75,,"A,B,G,I",7BEN_1;7BEN_4,2.5,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253 and COVOX-75 Fabs,3/3/2021,10.1016/j.cell.2021.02.032,Mutant Spike
7BEO,Antibody,COVOX-253H55L,,"C,D,H,L",7BEO_1;7BEO_4,3.19,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253H55L and COVOX-75 Fabs,3/3/2021,10.1016/j.cell.2021.02.032,Mutant Spike
7BEO,Antibody,COVOX-75,,"A,B,E,F",7BEO_2;7BEO_3,3.19,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253H55L and COVOX-75 Fabs,3/3/2021,10.1016/j.cell.2021.02.032,Mutant Spike
7BEP,Antibody,COVOX-384,,"A,B,D,F",7BEP_2;7BEP_3,2.61,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-384 and S309 Fabs,3/3/2021,10.1016/j.cell.2021.02.032,Mutant Spike
7BEP,Antibody,S309,3,"G,I,H,L",7BEP_1;7BEP_4,2.61,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-384 and S309 Fabs,3/3/2021,10.1016/j.cell.2021.02.032,Mutant Spike
7BNV,Antibody,ION-300,,,7BNV_1,2.35,Crystal Structure of the SARS-CoV-2 Receptor Binding Domain in Complex with Antibody ION-300,11/17/2021,10.3389/fimmu.2021.678570,
7BWJ,Antibody,P2B-2F6,3,,7BWJ_1,2.85,crystal structure of SARS-CoV-2 antibody with RBD,6/3/2020,10.1038/s41586-020-2380-z,
7BYR,Antibody,BD23,,,7BYR_1,3.84,BD23-Fab in complex with the S ectodomain trimer,6/10/2020,10.1016/j.cell.2020.05.025,
7BZ5,Antibody,B38,1,,7BZ5_1,1.84,Structure of COVID-19 virus spike receptor-binding domain complexed with a neutralizing antibody,5/13/2020,10.1126/science.abc2241,
7C01,Antibody,CB6,1,,7C01_1;7C01_2,2.88,Molecular basis for a potent human neutralizing antibody targeting SARS-CoV-2 RBD,5/27/2020,10.1038/s41586-020-2381-y,
7C2L,Antibody,4A8,,,7C2L_1;7C2L_2;7C2L_3,3.1,S protein of SARS-CoV-2 in complex bound with 4A8,7/1/2020,10.1126/science.abc6952,
7C53,Other,EK1,,,X,2.278,Crystal Structure of SARS-CoV-2 HR1 motif in complex with pan-CoVs inhibitor EK1,5/19/2021,10.1038/s41392-021-00712-2,"Fusion Peptide, binder?"
7C8V,Nanobody/Sybody,SR4,2,,7C8V_1,2.15,Structure of sybody SR4 in complex with the SARS-CoV-2 S Receptor Binding domain (RBD),6/24/2020,,
7C8W,Nanobody/Sybody,MR17,2,,7C8W_1,2.77,Structure of sybody MR17 in complex with the SARS-CoV-2 S receptor-binding domain (RBD),6/24/2020,,
7CAC,Antibody,H014,4,,7CAC_1,3.55,SARS-CoV-2 S trimer with one RBD in the open state and complexed with one H014 Fab.,2/24/2021,10.1126/science.abc5881,
7CAH,Antibody,H014,4,,7CAH_1,3.9,The interface of H014 Fab binds to SARS-CoV-2 S,8/12/2020,10.1126/science.abc5881,
7CAI,Antibody,H014,4,,7CAI_1;7CAI_2,3.49,SARS-CoV-2 S trimer with two RBDs in the open state and complexed with two H014 Fab,9/23/2020,10.1126/science.abc5881,
7CAK,Antibody,H014,4,,7CAK_1;7CAK_2;7CAK_3,3.58,SARS-CoV-2 S trimer with three RBD in the open state and complexed with three H014 Fab,9/23/2020,10.1126/science.abc5881,
7CAN,Nanobody/Sybody,MR17-K99Y,2,,7CAN_1,2.94,Structure of sybody MR17-K99Y in complex with the SARS-CoV-2 S Receptor-binding domain (RBD),6/24/2020,,
7CDI,Antibody,P2C-1F11,1,,7CDI_1,2.96,Crystal structure of SARS-CoV-2 antibody P2C-1F11 with RBD,11/18/2020,10.1038/s41467-020-20501-9,
7CDJ,Antibody,P2C-1A3,2,,7CDJ_1,3.396,Crystal structure of SARS-CoV-2 antibody P2C-1A3 with RBD,11/18/2020,10.1038/s41467-020-20501-9,
7CH4,Antibody,BD-604,1,,7CH4_1,3.15,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-604 Fab,9/16/2020,10.1016/j.cell.2020.09.035,
7CH5,Antibody,BD-629,,,7CH5_1,2.7,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-629 Fab,9/16/2020,10.1016/j.cell.2020.09.035,
7CHB,Antibody,BD-236,,,7CHB_1,2.4,Crystal structure of the SARS-CoV-2 RBD in complex with BD-236 Fab,9/16/2020,10.1016/j.cell.2020.09.035,
7CHC,Antibody,BD-368-2,2,"A,B",7CHC_2,2.71,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-629 Fab and BD-368-2 Fab,9/16/2020,10.1016/j.cell.2020.09.035,
7CHC,Antibody,BD-629,,"H,L",7CHC_1,2.71,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-629 Fab and BD-368-2 Fab,9/16/2020,10.1016/j.cell.2020.09.035,
7CHE,Antibody,BD-236,,"H,L",7CHE_1,3.416,Crystal structure of the SARS-CoV-2 RBD in complex with BD-236 Fab and BD-368-2 Fab,9/16/2020,10.1016/j.cell.2020.09.035,
7CHE,Antibody,BD-368-2,2,"A,B",7CHE_2,3.416,Crystal structure of the SARS-CoV-2 RBD in complex with BD-236 Fab and BD-368-2 Fab,9/16/2020,10.1016/j.cell.2020.09.035,
7CHF,Antibody,BD-368-2,2,"A,B",7CHF_1,2.674,Crystal structure of the SARS-CoV-2 RBD in complex with BD-604 Fab and BD-368-2 Fab,9/16/2020,10.1016/j.cell.2020.09.035,
7CHF,Antibody,BD-604,1,"H,L",7CHF_2,2.674,Crystal structure of the SARS-CoV-2 RBD in complex with BD-604 Fab and BD-368-2 Fab,9/16/2020,10.1016/j.cell.2020.09.035,
7CHH,Antibody,BD-368-2,2,,7CHH_1;7CHH_2;7CHH_3,3.49,Cryo-EM structure of the SARS-CoV-2 S-6P in complex with BD-368-2 Fabs,9/16/2020,10.1016/j.cell.2020.09.035,
7CHO,Antibody,P5A-1D2,1,,7CHO_1;7CHO_2,2.561,Crystal structure of SARS-CoV-2 antibody P5A-1D2 with RBD,5/19/2021,10.1038/s41467-021-24514-w,
7CHP,Antibody,P5A-3C8,1,,7CHP_1,2.357,Crystal structure of SARS-CoV-2 antibody P5A-3C8 with RBD,5/19/2021,10.1038/s41467-021-24514-w,
7CHS,Antibody,P22A-1D1,1,,7CHS_1,2.401,Crystal structure of SARS-CoV-2 antibody P22A-1D1 with RBD,5/19/2021,10.1038/s41467-021-24514-w,
7CJF,Antibody,P4A1,1,,7CJF_1,2.108,Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody Fab,11/11/2020,10.1038/s41467-021-22926-2,
7CM4,Antibody,CT-P59,2,,7CM4_1,2.71,Crystal Structure of COVID-19 virus spike receptor-binding domain complexed with a neutralizing antibody CT-P59,1/20/2021,10.1038/s41467-020-20602-5,
7CWL,Antibody,P17,2,,7CWL_1;7CWL_2;7CWL_3,3.8,SARS-CoV-2 spike protein and P17 fab complex with one RBD in close state,1/27/2021,10.1038/s41422-020-00444-y,
7CWM,Antibody,P17,2,,7CWM_1;7CWM_2;7CWM_3,3.6,Complex of SARS-CoV-2 spike protein and Fab P17 with one RBD in open state and two RBD in closed state,12/16/2020,10.1038/s41422-020-00444-y,
7CWN,Antibody,H014,4,"D,E,M,H,N,O",7CWN_2;7CWN_4;7CWN_5,3.2,P17-H014 Fab cocktail in complex with SARS-CoV-2 spike protein,12/16/2020,10.1038/s41422-020-00444-y,
7CWN,Antibody,P17,2,"F,G,I,K,J,L",7CWN_1;7CWN_3;7CWN_6,3.2,P17-H014 Fab cocktail in complex with SARS-CoV-2 spike protein,12/16/2020,10.1038/s41422-020-00444-y,
7CWO,Antibody,P17,2,,7CWO_1,3.9,SARS-CoV-2 spike protein RBD and P17 fab complex,12/16/2020,10.1038/s41422-020-00444-y,
7CWS,Antibody,FC05,,"C,L,K,M,N,P",7CWS_1;7CWS_4;7CWS_5,3.4,SARS-CoV-2 Spike Proteins Trimer in Complex with FC05 and H014 Fabs Cocktail,12/16/2020,10.1038/s41422-020-00446-w,
7CWS,Antibody,H014,4,"D,E,F,G,H,I",7CWS_2;7CWS_3;7CWS_6,3.4,SARS-CoV-2 Spike Proteins Trimer in Complex with FC05 and H014 Fabs Cocktail,12/16/2020,10.1038/s41422-020-00446-w,
7CWT,Antibody,FC05,,"H,K,L,M,N,P",7CWT_1;7CWT_3;7CWT_6,3.7,SARS-CoV-2 Spike protein in complex with hb27 and fc05 Fab cocktail,6/23/2021,10.1038/s41422-020-00446-w,
7CWT,Antibody,HB27,2,"D,E,F,G,I,J",7CWT_2;7CWT_4;7CWT_5,3.7,SARS-CoV-2 Spike protein in complex with hb27 and fc05 Fab cocktail,6/23/2021,10.1038/s41422-020-00446-w,
7CWU,Antibody,FC05,,"F,G,I,J,N,P",7CWU_1;7CWU_3;7CWU_5,3.5,SARS-CoV-2 spike proteins trimer in complex with P17 and FC05 Fabs cocktail,12/16/2020,10.1038/s41422-020-00446-w,
7CWU,Antibody,P17,2,"H,L,M,O,R,S",7CWU_2;7CWU_4;7CWU_6,3.5,SARS-CoV-2 spike proteins trimer in complex with P17 and FC05 Fabs cocktail,12/16/2020,10.1038/s41422-020-00446-w,
7CYH,Antibody,HB27,2,,7CYH_1,3.9,Binding interface of SARS-CoV-2 RBD and its neutralizing antibody HB27,6/9/2021,,
7CYP,Antibody,HB27,2,,7CYP_1;7CYP_2;7CYP_3,3.5,Complex of SARS-CoV-2 spike trimer with its neutralizing antibody HB27,6/9/2021,,
7CYV,Antibody,FD20,,,7CYV_1,3.13,"Crystal structure of FD20, a neutralizing single-chain variable fragment (scFv) in complex with SARS-CoV-2 Spike receptor-binding domain (RBD)",9/15/2021,,
7CZP,Antibody,P2B-1A1,2,,7CZP_1;7CZP_2,3,S protein of SARS-CoV-2 in complex bound with P2B-1A1,3/10/2021,10.1038/s41422-021-00487-9,
7CZQ,Antibody,P2B-1A10,1,,7CZQ_1;7CZQ_2,2.8,S protein of SARS-CoV-2 in complex bound with P2B-1A10,3/10/2021,10.1038/s41422-021-00487-9,
7CZR,Antibody,P5A-1B8_2B,1,,7CZR_1;7CZR_2,3.5,S protein of SARS-CoV-2 in complex bound with P5A-1B8_2B,3/10/2021,10.1038/s41422-021-00487-9,
7CZS,Antibody,P5A-1B8_3B,1,,7CZS_1;7CZS_2;7CZS_3,3.6,S protein of SARS-CoV-2 in complex bound with P5A-1B8_3B,3/10/2021,10.1038/s41422-021-00487-9,
7CZT,Antibody,P5A-2G9,2,,7CZT_1;7CZT_2,2.7,S protein of SARS-CoV-2 in complex bound with P5A-2G9,3/10/2021,10.1038/s41422-021-00487-9,
7CZU,Antibody,P5A-1B6_2B,2,,7CZU_1;7CZU_2,3.4,S protein of SARS-CoV-2 in complex bound with P5A-1B6_2B,3/10/2021,10.1038/s41422-021-00487-9,
7CZV,Antibody,P5A-1B6_3B,2,,7CZV_1;7CZV_2;7CZV_3,3.3,S protein of SARS-CoV-2 in complex bound with P5A-1B6_3B,3/10/2021,10.1038/s41422-021-00487-9,
7CZW,Antibody,P5A-2G7,,,7CZW_1;7CZW_2,2.8,S protein of SARS-CoV-2 in complex bound with P5A-2G7,3/10/2021,10.1038/s41422-021-00487-9,
7CZX,Antibody,P5A-1B9,2,,7CZX_1;7CZX_2;7CZX_3,2.8,S protein of SARS-CoV-2 in complex bound with P5A-1B9,3/10/2021,10.1038/s41422-021-00487-9,
7CZY,Antibody,P5A-2F11_2B,2,,7CZY_1;7CZY_2,3.3,S protein of SARS-CoV-2 in complex bound with P5A-2F11_2B,3/10/2021,10.1038/s41422-021-00487-9,
7CZZ,Antibody,P5A-2F11_3B,2,,7CZZ_1;7CZZ_2;7CZZ_3,3.2,S protein of SARS-CoV-2 in complex bound with P5A-2F11_3B,3/10/2021,10.1038/s41422-021-00487-9,
7D00,Antibody,FabP5A-1B8,,,7D00_1;7D00_2,3,S protein of SARS-CoV-2 in complex bound with FabP5A-1B8,3/10/2021,10.1038/s41422-021-00487-9,
7D03,Antibody,FabP5A-2G7,,,7D03_1,3.2,S protein of SARS-CoV-2 in complex bound with FabP5A-2G7,3/10/2021,10.1038/s41422-021-00487-9,
7D0B,Antibody,P5A-3C12_1B,2,,7D0B_1,3.9,S protein of SARS-CoV-2 in complex bound with P5A-3C12_1B,3/10/2021,10.1038/s41422-021-00487-9,
7D0C,Antibody,P5A-3A1,1,,7D0C_1;7D0C_2,3.4,S protein of SARS-CoV-2 in complex bound with P5A-3A1,3/10/2021,10.1038/s41422-021-00487-9,
7D0D,Antibody,P5A-3C12_2B,2,,7D0D_1;7D0D_2,3.8,S protein of SARS-CoV-2 in complex bound with P5A-3C12_2B,3/10/2021,10.1038/s41422-021-00487-9,
7D2Z,Nanobody/Sybody,SR31,4,,7D2Z_1,1.97,Structure of sybody SR31 in complex with the SARS-CoV-2 S Receptor Binding domain (RBD),2/17/2021,10.1371/journal.ppat.1009328,
7D30,Nanobody/Sybody,MR17-SR31,2,,7D30_1;7D30_2,2.1,Structure of sybody MR17-SR31 fusion in complex with the SARS-CoV-2 S Receptor Binding domain (RBD),2/17/2021,10.1371/journal.ppat.1009328,
7D4G,Antibody,FC05,,,7D4G_1,3.9,A proof of concept for neutralizing antibody-guided vaccine design against SARS-CoV-2,4/7/2021,,
7D6I,Antibody,GH12,,,7D6I_1,3.41,A neutralizing MAb targeting receptor-binding-domain of SARS-CoV-2,10/13/2021,,
7DCC,Antibody,3C1,2,,7DCC_1;7DCC_2;7DCC_3,4.3,"S-3C1-F3b structure, all the three RBDs are in the up conformation and each of them associates with a 3C1 Fab",12/2/2020,10.1038/s41467-020-20465-w,
7DCX,Antibody,3C1,2,,7DCX_1;7DCX_2;7DCX_3,5.9,"S-3C1-F3a structure, two RBDs are up and one RBD is down, each RBD binds with a 3C1 fab.",12/2/2020,10.1038/s41467-020-20465-w,
7DD2,Antibody,3C1,2,,7DD2_1;7DD2_2,5.6,"S-3C1-F2 structure, two RBDs are up and one RBD is down, the two up RBD bind with a 3C1 fab.",12/2/2020,10.1038/s41467-020-20465-w,
7DD8,Antibody,3C1,2,,7DD8_1,7.5,"S-3C1-F1 structure, one RBD is up and two RBDs are down, the up RBD binds with a 3C1 fab",12/2/2020,10.1038/s41467-020-20465-w,
7DEO,Antibody,PR1077,,,7DEO_1;7DEO_2,2.5,Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody scFv,3/31/2021,10.1371/journal.pbio.3001209,
7DET,Antibody,PR961,,,7DET_1;7DET_2,2.2,Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody scFv,3/31/2021,10.1371/journal.pbio.3001209,
7DEU,Antibody,PR953,,,7DEU_1,2.1,Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody scFv,3/31/2021,10.1371/journal.pbio.3001209,
7DJZ,Antibody,MW01,2,,7DJZ_1,2.397,Crystal structure of SARS-CoV-2 Spike RBD in complex with MW01 Fab,6/9/2021,,
7DK0,Antibody,MW05,2,,7DK0_1,3.199,Crystal structure of SARS-CoV-2 Spike RBD in complex with MW05 Fab,6/9/2021,,
7DK4,Antibody,2H2,2,,7DK4_1;7DK4_2;7DK4_3,3.8,"S-2H2-F3a structure, two RBDs are up and one RBD is down, each RBD binds with a 2H2 Fab.",12/2/2020,10.1038/s41467-020-20465-w,
7DK5,Antibody,2H2,2,,7DK5_1,13.5,"S-2H2-F1 structure, one RBD is up and two RBDs are down, only up RBD binds with a 2H2 Fab",12/2/2020,10.1038/s41467-020-20465-w,
7DK6,Antibody,2H2,2,,7DK6_1;7DK6_2,4.3,"S-2H2-F2 structure, two RBDs are up and one RBD is down, each up RBD binds with a 2H2 Fab.",12/2/2020,10.1038/s41467-020-20465-w,
