ID,Title,Released,Class of Spike-Binding Protein,Ab/Nb,Chains (If Cocktail),Model Name,Resolution,Cocktail (2+ Different Ab/Nb/Sb),Domain Target on Spike,DOI
6XEY,Cryo-EM structure of the SARS-CoV-2 spike glycoprotein bound to Fab 2-4,2020-07-22,Antibody,2-4,,6XEY_1;6XEY_2;6XEY_3,3.25,No,,10.1038/s41586-020-2571-7
6XKP,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody CV07-270,2020-10-14,Antibody,CV07-270,,6XKP_1;6XKP_2,2.72,No,RBD,10.1016/j.cell.2020.09.049
6XKQ,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody CV07-250,2020-10-14,Antibody,CV07-250,,6XKQ_1,2.55,No,RBD,10.1016/j.cell.2020.09.049
6YLA,Crystal structure of the SARS-CoV-2 receptor binding domain in complex with CR3022 Fab,2020-04-15,Antibody,CR3022,,6YLA_1;6YLA_2,2.42,No,RBD,10.1016/j.chom.2020.06.010
6YM0,Crystal structure of the SARS-CoV-2 receptor binding domain in complex with CR3022 Fab (crystal form 1),2020-04-29,Antibody,CR3022,,6YM0_1,4.36,No,RBD,10.1016/j.chom.2020.06.010
6YOR,Structure of the SARS-CoV-2 spike S1 protein in complex with CR3022 Fab,2020-04-29,Antibody,CR3022,,6YOR_1;6YOR_2,"3.3, 3.9",No,,10.1016/j.chom.2020.06.010
6YZ5,H11-D4 complex with SARS-CoV-2 RBD,2020-06-03,Nanobody/Sybody,H11-D4,,,1.8,No,RBD,
6YZ7,"H11-D4, SARS-CoV-2 RBD, CR3022 ternary complex",2020-06-03,"Antibody
Nanobody/Sybody",CR3022,"BBB,CCC,HHH,LLL",,3.3,Yes,RBD,
6YZ7,"H11-D4, SARS-CoV-2 RBD, CR3022 ternary complex",2020-06-03,"Antibody
Nanobody/Sybody",H11-D4,"DDD,FFF",,3.3,Yes,RBD,
6Z2M,"H11-D4, SARS-CoV-2 RBD, CR3022 ternary complex",2020-06-03,"Antibody
Nanobody/Sybody",CR3022,"B,C,H,L",6Z2M_1,2.71,Yes,RBD,
6Z2M,"H11-D4, SARS-CoV-2 RBD, CR3022 ternary complex",2020-06-03,"Antibody
Nanobody/Sybody",H11-D4,"D,F",6Z2M_1,2.71,Yes,RBD,
6Z43,Cryo-EM Structure of SARS-CoV-2 Spike : H11-D4 Nanobody Complex,2020-06-03,Nanobody/Sybody,H11-D4,,,3.3,No,,
6ZBP,H11-H4 complex with SARS-CoV-2,2020-07-29,Nanobody/Sybody,H11-H4,,,1.85,No,,
6ZCZ,Crystal structure of receptor binding domain of SARS-CoV-2 Spike glycoprotein in ternary complex with EY6A Fab and a nanobody.,2020-06-24,"Antibody
Nanobody/Sybody",EY6A,"H,L",,2.65,Yes,RBD,10.1038/s41594-020-0480-y
6ZCZ,Crystal structure of receptor binding domain of SARS-CoV-2 Spike glycoprotein in ternary complex with EY6A Fab and a nanobody.,2020-06-24,"Antibody
Nanobody/Sybody",H11-H4,F,,2.65,Yes,RBD,10.1038/s41594-020-0480-y
6ZDG,Association of three complexes of largely structurally disordered Spike ectodomain with bound EY6A Fab,2020-07-29,Antibody,EY6A,,6ZDG_1;6ZDG_2;6ZDG_3,4.7,No,,10.1038/s41594-020-0480-y
6ZDH,SARS-CoV-2 Spike glycoprotein in complex with a neutralizing antibody EY6A Fab,2020-07-01,Antibody,EY6A,,6ZDH_1;6ZDH_2;6ZDH_3,3.7,No,,10.1038/s41594-020-0480-y
6ZER,Crystal structure of receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with EY6A Fab,2020-06-24,Antibody,EY6A,,6ZER_1;6ZER_2;6ZER_3,3.8,No,RBD,10.1038/s41594-020-0480-y
6ZFO,Association of two complexes of largely structurally disordered Spike ectodomain with bound EY6A Fab,2020-07-08,Antibody,EY6A,,6ZFO_1;6ZFO_2,4.4,No,,10.1038/s41594-020-0480-y
6ZH9,Ternary complex CR3022 H11-H4 and RBD (SARS-CoV-2),2020-09-02,"Antibody
Nanobody/Sybody",CR3022,"HHH,LLL",,3.31,Yes,RBD,10.1038/s41594-020-0469-6
6ZH9,Ternary complex CR3022 H11-H4 and RBD (SARS-CoV-2),2020-09-02,"Antibody
Nanobody/Sybody",H11-H4,FFF,,3.31,Yes,RBD,10.1038/s41594-020-0469-6
6ZHD,H11-H4 bound to Spike,2020-07-29,Nanobody/Sybody,H11-H4,,,"3.7, 3.7",No,,
6ZLR,Soaking competent crystal form of the SARS-CoV-2 Receptor Binding Domain (RBD):CR3022 complex.,2020-12-23,Antibody,CR3022,,,3.1,No,RBD,10.3389/fphar.2020.615211
6ZXN,Cryo-EM structure of the SARS-CoV-2 spike protein bound to neutralizing nanobodies (Ty1),2020-09-23,Nanobody/Sybody,Ty1,,,2.93,No,,10.1038/s41467-020-18174-5
7A25,Cryo-EM structure of the SARS-CoV-2 spike protein bound to neutralizing sybodies (Sb23),2020-11-25,Nanobody/Sybody,Sb23,,,3.06,,,10.1038/s41467-020-19204-y
7A29,Cryo-EM structure of the SARS-CoV-2 spike protein bound to neutralizing sybodies (Sb23) 2-up conformation,2020-10-21,Nanobody/Sybody,Sb23,,,2.94,No,,10.1038/s41467-020-19204-y
7A5R,Complex of SARS-CoV-2 spike and CR3022 Fab (Non-Uniform Refinement),2020-09-16,Antibody,CR3022,,7A5R_1;7A5R_2,3.7,No,RBD,10.1038/s41467-020-19146-5
7A5S,Complex of SARS-CoV-2 spike and CR3022 Fab (Homogeneous Refinement),2020-09-16,Antibody,CR3022,,7A5S_1;7A5S_2,3.9,No,RBD,10.1038/s41467-020-19146-5
7AKD,Structure of the SARS-CoV-2 spike glycoprotein in complex with the 47D11 neutralizing antibody Fab fragment,2021-05-19,Antibody,47D11,,7AKD_1;7AKD_2,4,No,,10.1126/sciadv.abf5632
7B14,Nanobody E bound to Spike-RBD in a localized reconstruction,2021-04-28,Nanobody/Sybody,VHH E,,,3.79,No,,10.1126/science.abe6230
7B17,SARS-CoV-spike RBD bound to two neutralising nanobodies.,2021-02-10,Nanobody/Sybody,VHH VE,,,4.01,No,RBD,10.1126/science.abe6230
7B18,SARS-CoV-spike bound to two neutralising nanobodies,2021-04-28,Nanobody/Sybody,VHH VE,,,2.62,No,,10.1126/science.abe6230
7B27,RBD domain SARS-CoV2 in complex with neutralizing nanobody NM1230,2021-05-12,Nanobody/Sybody,NM1230,,,2.902,No,RBD,10.15252/embr.202052325
7B3O,Crystal structure of the SARS-CoV-2 RBD in complex with STE90-C11 Fab,2020-12-16,Antibody,STE90-C11,,7B3O_1,2,No,RBD,10.1016/j.celrep.2021.109433
7BEH,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-316 Fab,2021-03-03,Antibody,COVOX-316,,7BEH_1,2.3,No,RBD,10.1016/j.cell.2021.02.032
7BEI,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-150 Fab,2021-03-03,Antibody,COVOX-150,,7BEI_1,2.3,No,RBD,10.1016/j.cell.2021.02.032
7BEJ,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-158 Fab (crystal form 1),2021-03-03,Antibody,COVOX-158,,7BEJ_1,2.42,No,RBD,10.1016/j.cell.2021.02.032
7BEK,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-158 Fab (crystal form 2),2021-03-03,Antibody,COVOX-158,,7BEK_1,2.04,No,RBD,10.1016/j.cell.2021.02.032
7BEL,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-88 and COVOX-45 Fabs,2021-03-03,Antibody,COVOX-88,"E,F,H,L",7BEL_1;7BEL_4,2.53,Yes,RBD,10.1016/j.cell.2021.02.032
7BEL,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-88 and COVOX-45 Fabs,2021-03-03,Antibody,COVOX-45,"A,B,C,D",7BEL_2;7BEL_3,2.53,Yes,RBD,10.1016/j.cell.2021.02.032
7BEM,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-269 scFv,2021-03-03,Antibody,COVOX-269,,7BEM_1,2.52,No,RBD,10.1016/j.cell.2021.02.032
7BEN,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253 and COVOX-75 Fabs,2021-03-03,Antibody,COVOX-253,"D,F,H,L",7BEN_2;7BEN_3,2.5,Yes,RBD,10.1016/j.cell.2021.02.032
7BEN,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253 and COVOX-75 Fabs,2021-03-03,Antibody,COVOX-75,"A,B,G,I",7BEN_1;7BEN_4,2.5,Yes,RBD,10.1016/j.cell.2021.02.032
7BEO,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253H55L and COVOX-75 Fabs,2021-03-03,Antibody,COVOX-253H55L,"C,D,H,L",7BEO_1;7BEO_4,3.19,Yes,RBD,10.1016/j.cell.2021.02.032
7BEO,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253H55L and COVOX-75 Fabs,2021-03-03,Antibody,COVOX-75,"A,B,E,F",7BEO_2;7BEO_3,3.19,Yes,RBD,10.1016/j.cell.2021.02.032
7BEP,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-384 and S309 Fabs,2021-03-03,Antibody,COVOX-384,"A,B,D,F",7BEP_2;7BEP_3,2.61,Yes,RBD,10.1016/j.cell.2021.02.032
7BEP,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-384 and S309 Fabs,2021-03-03,Antibody,S309,"G,I,H,L",7BEP_1;7BEP_4,2.61,Yes,RBD,10.1016/j.cell.2021.02.032
7BNV,Crystal Structure of the SARS-CoV-2 Receptor Binding Domain in Complex with Antibody ION-300,2021-11-17,Antibody,ION-300,,7BNV_1,2.35,No,RBD,10.3389/fimmu.2021.678570
7BWJ,crystal structure of SARS-CoV-2 antibody with RBD,2020-06-03,Antibody,P2B-2F6,,7BWJ_1,2.85,No,RBD,10.1038/s41586-020-2380-z
7BYR,BD23-Fab in complex with the S ectodomain trimer,2020-06-10,Antibody,BD23,,7BYR_1,3.84,No,,10.1016/j.cell.2020.05.025
7BZ5,Structure of COVID-19 virus spike receptor-binding domain complexed with a neutralizing antibody,2020-05-13,Antibody,B38,,7BZ5_1,1.84,No,RBD,10.1126/science.abc2241
7C01,Molecular basis for a potent human neutralizing antibody targeting SARS-CoV-2 RBD,2020-05-27,Antibody,CB6,,7C01_1;7C01_2,2.88,No,RBD,10.1038/s41586-020-2381-y
7C2L,S protein of SARS-CoV-2 in complex bound with 4A8,2020-07-01,Antibody,4A8,,7C2L_1;7C2L_2;7C2L_3,3.1,No,NTD,10.1126/science.abc6952
7C53,Crystal Structure of SARS-CoV-2 HR1 motif in complex with pan-CoVs inhibitor EK1,2021-05-19,Other,EK1,,,2.278,No,HR1,10.1038/s41392-021-00712-2
7C8V,Structure of sybody SR4 in complex with the SARS-CoV-2 S Receptor Binding domain (RBD),2020-06-24,Nanobody/Sybody,SR4,,,2.15,No,RBD,
7C8W,Structure of sybody MR17 in complex with the SARS-CoV-2 S receptor-binding domain (RBD),2020-06-24,Nanobody/Sybody,MR17,,,2.77,No,RBD,
7CAC,SARS-CoV-2 S trimer with one RBD in the open state and complexed with one H014 Fab.,2021-02-24,Antibody,H014,,7CAC_1,3.55,No,,10.1126/science.abc5881
7CAH,The interface of H014 Fab binds to SARS-CoV-2 S,2020-08-12,Antibody,H014,,7CAH_1,3.9,No,,10.1126/science.abc5881
7CAI,SARS-CoV-2 S trimer with two RBDs in the open state and complexed with two H014 Fab,2020-09-23,Antibody,H014,,7CAI_1;7CAI_2,3.49,No,,10.1126/science.abc5881
7CAK,SARS-CoV-2 S trimer with three RBD in the open state and complexed with three H014 Fab,2020-09-23,Antibody,H014,,7CAK_1;7CAK_2;7CAK_3,3.58,No,,10.1126/science.abc5881
7CAN,Structure of sybody MR17-K99Y in complex with the SARS-CoV-2 S Receptor-binding domain (RBD),2020-06-24,Nanobody/Sybody,MR17-K99Y,,,2.94,No,RBD,
7CDI,Crystal structure of SARS-CoV-2 antibody P2C-1F11 with RBD,2020-11-18,Antibody,P2C-1F11,,7CDI_1,2.96,No,RBD,10.1038/s41467-020-20501-9
7CDJ,Crystal structure of SARS-CoV-2 antibody P2C-1A3 with RBD,2020-11-18,Antibody,P2C-1A3,,7CDJ_1,3.396,No,RBD,10.1038/s41467-020-20501-9
7CH4,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-604 Fab,2020-09-16,Antibody,BD-604,,7CH4_1,3.15,No,RBD,10.1016/j.cell.2020.09.035
7CH5,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-629 Fab,2020-09-16,Antibody,BD-629,,7CH5_1,2.7,No,RBD,10.1016/j.cell.2020.09.035
7CHB,Crystal structure of the SARS-CoV-2 RBD in complex with BD-236 Fab,2020-09-16,Antibody,BD-236,,7CHB_1,2.4,No,RBD,10.1016/j.cell.2020.09.035
7CHC,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-629 Fab and BD-368-2 Fab,2020-09-16,Antibody,BD-629,"H,L",7CHC_1,2.71,Yes,RBD,10.1016/j.cell.2020.09.035
7CHC,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-629 Fab and BD-368-2 Fab,2020-09-16,Antibody,BD-368-2,"A,B",7CHC_2,2.71,Yes,RBD,10.1016/j.cell.2020.09.035
7CHE,Crystal structure of the SARS-CoV-2 RBD in complex with BD-236 Fab and BD-368-2 Fab,2020-09-16,Antibody,BD-236,"H,L",7CHE_1,3.416,Yes,RBD,10.1016/j.cell.2020.09.035
7CHE,Crystal structure of the SARS-CoV-2 RBD in complex with BD-236 Fab and BD-368-2 Fab,2020-09-16,Antibody,BD-368-2,"A,B",7CHE_2,3.416,Yes,RBD,10.1016/j.cell.2020.09.035
7CHF,Crystal structure of the SARS-CoV-2 RBD in complex with BD-604 Fab and BD-368-2 Fab,2020-09-16,Antibody,BD-604,"H,L",7CHF_2,2.674,Yes,RBD,10.1016/j.cell.2020.09.035
7CHF,Crystal structure of the SARS-CoV-2 RBD in complex with BD-604 Fab and BD-368-2 Fab,2020-09-16,Antibody,BD-368-2,"A,B",7CHF_1,2.674,Yes,RBD,10.1016/j.cell.2020.09.035
7CHH,Cryo-EM structure of the SARS-CoV-2 S-6P in complex with BD-368-2 Fabs,2020-09-16,Antibody,BD-368-2,,7CHH_1;7CHH_2;7CHH_3,3.49,No,,10.1016/j.cell.2020.09.035
7CHO,Crystal structure of SARS-CoV-2 antibody P5A-1D2 with RBD,2021-05-19,Antibody,P5A-1D2,,7CHO_1;7CHO_2,2.561,No,RBD,10.1038/s41467-021-24514-w
7CHP,Crystal structure of SARS-CoV-2 antibody P5A-3C8 with RBD,2021-05-19,Antibody,P5A-3C8,,7CHP_1,2.357,No,RBD,10.1038/s41467-021-24514-w
7CHS,Crystal structure of SARS-CoV-2 antibody P22A-1D1 with RBD,2021-05-19,Antibody,P22A-1D1,,7CHS_1,2.401,No,RBD,10.1038/s41467-021-24514-w
7CJF,Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody Fab,2020-11-11,Antibody,P4A1,,7CJF_1,2.108,No,RBD,10.1038/s41467-021-22926-2
7CM4,Crystal Structure of COVID-19 virus spike receptor-binding domain complexed with a neutralizing antibody CT-P59,2021-01-20,Antibody,CT-P59,,7CM4_1,2.71,No,RBD,10.1038/s41467-020-20602-5
7CWL,SARS-CoV-2 spike protein and P17 fab complex with one RBD in close state,2021-01-27,Antibody,P17,,7CWL_1;7CWL_2;7CWL_3,3.8,No,,10.1038/s41422-020-00444-y
7CWM,Complex of SARS-CoV-2 spike protein and Fab P17 with one RBD in open state and two RBD in closed state,2020-12-16,Antibody,P17,,7CWM_1;7CWM_2;7CWM_3,3.6,No,,10.1038/s41422-020-00444-y
7CWN,P17-H014 Fab cocktail in complex with SARS-CoV-2 spike protein,2020-12-16,Antibody,P17,"F,G,I,K,J,L",7CWN_1;7CWN_3;7CWN_6,3.2,Yes,,10.1038/s41422-020-00444-y
7CWN,P17-H014 Fab cocktail in complex with SARS-CoV-2 spike protein,2020-12-16,Antibody,H014,"D,E,M,H,N,O",7CWN_2;7CWN_4;7CWN_5,3.2,Yes,,10.1038/s41422-020-00444-y
7CWO,SARS-CoV-2 spike protein RBD and P17 fab complex,2020-12-16,Antibody,P17,,7CWO_1,3.9,No,RBD,10.1038/s41422-020-00444-y
7CWS,SARS-CoV-2 Spike Proteins Trimer in Complex with FC05 and H014 Fabs Cocktail,2020-12-16,Antibody,FC05,"C,L,K,M,N,P",7CWS_1;7CWS_4;7CWS_5,3.4,Yes,,10.1038/s41422-020-00446-w
7CWS,SARS-CoV-2 Spike Proteins Trimer in Complex with FC05 and H014 Fabs Cocktail,2020-12-16,Antibody,H014,"D,E,F,G,H,I",7CWS_2;7CWS_3;7CWS_6,3.4,Yes,,10.1038/s41422-020-00446-w
7CWT,SARS-CoV-2 Spike protein in complex with hb27 and fc05 Fab cocktail,2021-06-23,Antibody,HB27,"D,E,F,G,I,J",7CWT_2;7CWT_4;7CWT_5,3.7,Yes,,10.1038/s41422-020-00446-w
7CWT,SARS-CoV-2 Spike protein in complex with hb27 and fc05 Fab cocktail,2021-06-23,Antibody,FC05,"H,K,L,M,N,P",7CWT_1;7CWT_3;7CWT_6,3.7,Yes,,10.1038/s41422-020-00446-w
7CWU,SARS-CoV-2 spike proteins trimer in complex with P17 and FC05 Fabs cocktail,2020-12-16,Antibody,P17,"H,L,M,O,R,S",7CWU_2;7CWU_4;7CWU_6,3.5,Yes,,10.1038/s41422-020-00446-w
7CWU,SARS-CoV-2 spike proteins trimer in complex with P17 and FC05 Fabs cocktail,2020-12-16,Antibody,FC05,"F,G,I,J,N,P",7CWU_1;7CWU_3;7CWU_5,3.5,Yes,,10.1038/s41422-020-00446-w
7CYH,Binding interface of SARS-CoV-2 RBD and its neutralizing antibody HB27,2021-06-09,Antibody,HB27,,7CYH_1,3.9,No,RBD,
7CYP,Complex of SARS-CoV-2 spike trimer with its neutralizing antibody HB27,2021-06-09,Antibody,HB27,,7CYP_1;7CYP_2;7CYP_3,3.5,No,,
7CYV,"Crystal structure of FD20, a neutralizing single-chain variable fragment (scFv) in complex with SARS-CoV-2 Spike receptor-binding domain (RBD)",2021-09-15,Antibody,FD20,,7CYV_1,3.13,No,RBD,
7CZP,S protein of SARS-CoV-2 in complex bound with P2B-1A1,2021-03-10,Antibody,P2B-1A1,,7CZP_1;7CZP_2,3,No,,10.1038/s41422-021-00487-9
7CZQ,S protein of SARS-CoV-2 in complex bound with P2B-1A10,2021-03-10,Antibody,P2B-1A10,,7CZQ_1;7CZQ_2,2.8,No,,10.1038/s41422-021-00487-9
7CZR,S protein of SARS-CoV-2 in complex bound with P5A-1B8_2B,2021-03-10,Antibody,P5A-1B8_2B,,7CZR_1;7CZR_2,3.5,No,,10.1038/s41422-021-00487-9
7CZS,S protein of SARS-CoV-2 in complex bound with P5A-1B8_3B,2021-03-10,Antibody,P5A-1B8_3B,,7CZS_1;7CZS_2;7CZS_3,3.6,No,,10.1038/s41422-021-00487-9
7CZT,S protein of SARS-CoV-2 in complex bound with P5A-2G9,2021-03-10,Antibody,P5A-2G9,,7CZT_1;7CZT_2,2.7,No,,10.1038/s41422-021-00487-9
7CZU,S protein of SARS-CoV-2 in complex bound with P5A-1B6_2B,2021-03-10,Antibody,P5A-1B6_2B,,7CZU_1;7CZU_2,3.4,No,,10.1038/s41422-021-00487-9
7CZV,S protein of SARS-CoV-2 in complex bound with P5A-1B6_3B,2021-03-10,Antibody,P5A-1B6_3B,,7CZV_1;7CZV_2;7CZV_3,3.3,No,,10.1038/s41422-021-00487-9
7CZW,S protein of SARS-CoV-2 in complex bound with P5A-2G7,2021-03-10,Antibody,P5A-2G7,,7CZW_1;7CZW_2,2.8,No,,10.1038/s41422-021-00487-9
7CZX,S protein of SARS-CoV-2 in complex bound with P5A-1B9,2021-03-10,Antibody,P5A-1B9,,7CZX_1;7CZX_2;7CZX_3,2.8,No,,10.1038/s41422-021-00487-9
7CZY,S protein of SARS-CoV-2 in complex bound with P5A-2F11_2B,2021-03-10,Antibody,P5A-2F11_2B,,7CZY_1;7CZY_2,3.3,No,,10.1038/s41422-021-00487-9
7CZZ,S protein of SARS-CoV-2 in complex bound with P5A-2F11_3B,2021-03-10,Antibody,P5A-2F11_3B,,7CZZ_1;7CZZ_2;7CZZ_3,3.2,No,,10.1038/s41422-021-00487-9
7D00,S protein of SARS-CoV-2 in complex bound with FabP5A-1B8,2021-03-10,Antibody,FabP5A-1B8,,7D00_1;7D00_2,3,No,,10.1038/s41422-021-00487-9
7D03,S protein of SARS-CoV-2 in complex bound with FabP5A-2G7,2021-03-10,Antibody,FabP5A-2G7,,7D03_1,3.2,No,,10.1038/s41422-021-00487-9
7D0B,S protein of SARS-CoV-2 in complex bound with P5A-3C12_1B,2021-03-10,Antibody,P5A-3C12_1B,,7D0B_1,3.9,No,,10.1038/s41422-021-00487-9
7D0C,S protein of SARS-CoV-2 in complex bound with P5A-3A1,2021-03-10,Antibody,P5A-3A1,,7D0C_1;7D0C_2,3.4,No,,10.1038/s41422-021-00487-9
7D0D,S protein of SARS-CoV-2 in complex bound with P5A-3C12_2B,2021-03-10,Antibody,P5A-3C12_2B,,7D0D_1;7D0D_2,3.8,No,,10.1038/s41422-021-00487-9
7D2Z,Structure of sybody SR31 in complex with the SARS-CoV-2 S Receptor Binding domain (RBD),2021-02-17,Nanobody/Sybody,SR31,,,1.97,No,RBD,10.1371/journal.ppat.1009328
7D30,Structure of sybody MR17-SR31 fusion in complex with the SARS-CoV-2 S Receptor Binding domain (RBD),2021-02-17,Nanobody/Sybody,MR17-SR31,,,2.1,No,RBD,10.1371/journal.ppat.1009328
7D4G,A proof of concept for neutralizing antibody-guided vaccine design against SARS-CoV-2,2021-04-07,Antibody,FC05,,7D4G_1,3.9,No,,
7D6I,A neutralizing MAb targeting receptor-binding-domain of SARS-CoV-2,2021-10-13,Antibody,GH12,,7D6I_1,3.41,No,RBD,
7DCC,"S-3C1-F3b structure, all the three RBDs are in the up conformation and each of them associates with a 3C1 Fab",2020-12-02,Antibody,3C1,,7DCC_1;7DCC_2;7DCC_3,4.3,No,RBD,10.1038/s41467-020-20465-w
7DCX,"S-3C1-F3a structure, two RBDs are up and one RBD is down, each RBD binds with a 3C1 fab.",2020-12-02,Antibody,3C1,,7DCX_1;7DCX_2;7DCX_3,5.9,No,RBD,10.1038/s41467-020-20465-w
7DD2,"S-3C1-F2 structure, two RBDs are up and one RBD is down, the two up RBD bind with a 3C1 fab.",2020-12-02,Antibody,3C1,,7DD2_1;7DD2_2,5.6,No,RBD,10.1038/s41467-020-20465-w
7DD8,"S-3C1-F1 structure, one RBD is up and two RBDs are down, the up RBD binds with a 3C1 fab",2020-12-02,Antibody,3C1,,7DD8_1,7.5,No,RBD,10.1038/s41467-020-20465-w
7DEO,Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody scFv,2021-03-31,Antibody,PR1077,,7DEO_1;7DEO_2,2.5,No,RBD,10.1371/journal.pbio.3001209
7DET,Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody scFv,2021-03-31,Antibody,PR961,,7DET_1;7DET_2,2.2,No,RBD,10.1371/journal.pbio.3001209
7DEU,Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody scFv,2021-03-31,Antibody,PR953,,7DEU_1,2.1,No,RBD,10.1371/journal.pbio.3001209
7DJZ,Crystal structure of SARS-CoV-2 Spike RBD in complex with MW01 Fab,2021-06-09,Antibody,MW01,,7DJZ_1,2.397,No,RBD,
7DK0,Crystal structure of SARS-CoV-2 Spike RBD in complex with MW05 Fab,2021-06-09,Antibody,MW05,,7DK0_1,3.199,No,RBD,
7DK4,"S-2H2-F3a structure, two RBDs are up and one RBD is down, each RBD binds with a 2H2 Fab.",2020-12-02,Antibody,2H2,,7DK4_1;7DK4_2;7DK4_3,3.8,No,RBD,10.1038/s41467-020-20465-w
7DK5,"S-2H2-F1 structure, one RBD is up and two RBDs are down, only up RBD binds with a 2H2 Fab",2020-12-02,Antibody,2H2,,7DK5_1,13.5,No,RBD,10.1038/s41467-020-20465-w
